bounds,"[[-103.7143332, 41.8287803], [-103.7124537, 41.8070167], [-103.6832028, 41.808417399999996], [-103.68507600000001, 41.8301812], [-103.7143332, 41.8287803]]"
2024-02-21T15,0.65
2024-02-21T18,0.74
2024-02-21T19,0.72
2024-02-21T21,0.79
2024-02-21T22,0.87
2024-02-21T23,0.9
2024-02-22T00,0.89
2024-02-22T02,0.88
2024-02-22T04,0.84
2024-02-22T05,0.81
2024-02-22T06,0.67
2024-02-22T07,0.64
2024-02-22T08,0.66
2024-02-22T09,0.58
2024-02-22T10,0.56
2024-02-22T11,0.65
2024-02-22T12,0.68
2024-02-22T13,0.63
2024-02-22T14,0.58
2024-02-22T15,0.4
2024-02-22T16,0.29
2024-02-22T17,0.3
2024-02-22T18,0.2
2024-02-22T19,0.19
2024-02-22T20,0.18
2024-02-22T21,0.2
2024-02-22T22,0.16
2024-02-22T23,0.22
2024-02-23T00,0.2
2024-02-23T01,0.19
2024-02-23T02,0.29
2024-02-23T03,0.24
2024-02-23T04,0.37
2024-02-23T05,0.23
2024-02-23T06,0.18
2024-02-23T07,0.17
2024-02-23T08,0.14
2024-02-23T09,0.1
2024-02-23T10,0.09
2024-02-23T11,0.08
2024-02-23T14,0.09
2024-02-23T15,0.08
2024-02-23T16,0.07
2024-02-23T17,0.05
2024-02-23T18,0.03
2024-02-24T00,0.02
2024-02-24T02,0.03
2024-02-24T05,0.04
2024-02-24T08,0.05
2024-02-24T10,0.06
2024-02-24T12,0.07
2024-02-24T13,0.08
2024-02-24T15,0.09
2024-02-24T16,0.07
2024-02-24T17,0.05
2024-02-24T18,0.03
2024-02-24T19,0.02
2024-02-24T21,0.01
2024-02-24T22,0.02
2024-02-24T23,0.04
2024-02-25T00,0.06
2024-02-25T01,0.07
2024-02-25T02,0.1
2024-02-25T03,0.11
2024-02-25T06,0.12
2024-02-25T07,0.11
2024-02-25T08,0.09
2024-02-25T09,0.08
2024-02-25T11,0.07
2024-02-25T12,0.05
2024-02-25T13,0.06
2024-02-25T14,0.07
2024-02-25T15,0.08
2024-02-25T16,0.06
2024-02-25T17,0.05
2024-02-25T18,0.03
2024-02-25T19,0.04
2024-02-25T20,0.05
2024-02-25T21,0.06
2024-02-25T22,0.08
2024-02-25T23,0.09
2024-02-26T00,0.13
2024-02-26T01,0.12
2024-02-26T02,0.13
2024-02-26T03,0.12
2024-02-26T04,0.14
2024-02-26T05,0.15
2024-02-26T06,0.2
2024-02-26T07,0.21
2024-02-26T08,0.22
2024-02-26T09,0.24
2024-02-26T10,0.27
2024-02-26T11,0.28
2024-02-26T12,0.32
2024-02-26T13,0.31
2024-02-26T14,0.3
2024-02-26T15,0.29
2024-02-26T16,0.26
2024-02-26T17,0.23
2024-02-26T18,0.19
2024-02-26T19,0.21
2024-02-26T20,0.24
2024-02-26T21,0.26
2024-02-26T22,0.27
2024-02-26T23,0.3
2024-02-27T00,0.35
2024-02-27T01,0.38
2024-02-27T02,0.42
2024-02-27T03,0.46
2024-02-27T04,0.47
2024-02-27T06,0.5
2024-02-27T07,0.54
2024-02-27T08,0.59
2024-02-27T09,0.62
2024-02-27T10,0.65
2024-02-27T11,0.67
2024-02-27T12,0.72
2024-02-27T13,0.74
2024-02-27T15,0.75
2024-02-27T16,0.7
2024-02-27T17,0.64
2024-02-27T18,0.59
2024-02-27T21,0.58
2024-02-27T22,0.6
2024-02-27T23,0.62
2024-02-28T00,0.63
2024-02-28T01,0.6
2024-02-28T02,0.57
2024-02-28T03,0.55
2024-02-28T04,0.53
2024-02-28T06,0.48
2024-02-28T07,0.43
2024-02-28T08,0.38
2024-02-28T09,0.33
2024-02-28T10,0.31
2024-02-28T12,0.26
2024-02-28T13,0.27
2024-02-28T15,0.28
2024-02-28T16,0.23
2024-02-28T17,0.19
2024-02-28T18,0.13
2024-02-28T19,0.14
2024-02-28T21,0.15
2024-02-28T22,0.17
2024-02-28T23,0.19
2024-02-29T00,0.21
