Lat,Lon,Adjusted Rad
40.88278,-98.37418,458.39461241205146
40.88288,-98.3741,458.3970070172808
40.88304,-98.37401,458.3848654312822
40.88298,-98.37382,458.3999205564602
40.88295,-98.37368,458.4081533012261
40.88293,-98.37353,458.4072412649808
40.88292,-98.37342,458.40424698746233
40.88292,-98.37329,458.40028156831397
40.88293,-98.37312,458.39482603064005
40.88296,-98.37292,458.3858812506218
40.88301,-98.37273,458.36704306165507
40.88306,-98.37258,458.3518607726746
40.88314,-98.37241,458.3340109507031
40.88319,-98.37232,458.32432103259754
40.8832,-98.3723,458.3221920730466
40.88329,-98.37218,458.32116997114497
40.88342,-98.37203,458.32456718056136
40.88345,-98.372,458.32507040341335
40.88353,-98.37193,458.3258478561195
40.88365,-98.37184,458.3290816742643
40.88377,-98.37177,458.3341252510957
40.88385,-98.37172,458.33884160991835
40.88392,-98.37169,458.3425562717225
40.88402,-98.37166,458.34746270529627
40.8841,-98.37165,458.3503957659789
40.88411,-98.37165,458.3506422174556
40.88421,-98.37164,458.35428770482116
40.88431,-98.37165,458.34985253996535
40.88445,-98.37168,458.3381095842413
40.88447,-98.37169,458.3360941094628
40.88456,-98.37173,458.32829195236826
40.88464,-98.37177,458.32228263736073
40.88478,-98.37185,458.3144618560983
40.8848,-98.37187,458.31352757528197
40.88486,-98.37192,458.3117161234992
40.88495,-98.372,458.3110332912192
40.88498,-98.37202,458.3109276624224
40.8851,-98.37218,458.311180479746
40.88522,-98.37236,458.30851901991946
40.88529,-98.3725,458.30619884516005
40.88534,-98.37264,458.3055648024251
40.8854,-98.37286,458.3069038129262
40.88543,-98.37302,458.30795921943235
40.88546,-98.37317,458.3080299001208
40.88609,-98.37314,458.3096669982562
40.88637,-98.37313,458.3045413675117
40.88663,-98.37309,458.3038197005948
40.88681,-98.37307,458.3032489163788
40.88703,-98.37305,458.3030317703755
40.88717,-98.37305,458.3041231967911
40.88729,-98.37306,458.30475501263896
40.88735,-98.37305,458.30552831741744
40.88753,-98.37304,458.30724608532825
40.88768,-98.37304,458.30842082127
40.88771,-98.37304,458.30735043599344
40.88789,-98.37304,458.30092479737715
40.88798,-98.37304,458.29771031452606
40.88798,-98.37316,458.2938881195024
40.88799,-98.37515,458.2906815772012
40.88801,-98.37602,458.2929641013465
40.88802,-98.37655,458.29914838445274
40.88803,-98.37723,458.3012676291025
40.88805,-98.3782,458.3163737039307
40.88806,-98.37842,458.3326501628007
40.88802,-98.37854,458.32861758945427
40.88801,-98.3791,458.2854460731543
40.88802,-98.38,458.29498356682507
40.88801,-98.38026,458.2982832355006
40.88801,-98.381,458.305179102841
40.888,-98.3825,458.3123674006728
40.88802,-98.38276,458.3143105564021
40.88803,-98.38276,458.31477318241684
40.88804,-98.38277,458.3152790518388
40.88805,-98.38277,458.31574832949764
40.88806,-98.38278,458.31627415631095
40.88807,-98.38278,458.3167467591142
40.88808,-98.38279,458.317292543229
40.88809,-98.3828,458.3178483059256
40.8881,-98.38281,458.31841737362237
40.8881,-98.38282,458.3185038612117
40.88811,-98.38283,458.31909288667316
40.88812,-98.38284,458.3196918906057
40.88812,-98.38286,458.31988482405706
40.88813,-98.38287,458.3205104384183
40.88813,-98.38288,458.3206135579018
40.88814,-98.38289,458.32125912982997
40.88814,-98.38291,458.3214753478433
40.88814,-98.38292,458.32158512004605
40.88814,-98.38294,458.3218046644121
40.88814,-98.38295,458.32191111014646
40.88814,-98.38296,458.32202088229735
40.88814,-98.38298,458.3222404265593
40.88814,-98.38299,458.32235019867073
40.88814,-98.38301,458.32256641642755
40.88814,-98.38302,458.3226761885
40.88813,-98.38303,458.32215702233793
40.88813,-98.38304,458.3222601416367
40.88813,-98.38305,458.322363260924
40.88812,-98.38306,458.3218208092067
40.88812,-98.38307,458.3219172757141
40.88811,-98.38308,458.3213548647203
40.88811,-98.38309,458.32144800487356
40.8881,-98.3831,458.3208656345484
40.88809,-98.38311,458.32027328406883
40.88808,-98.38312,458.319670953406
40.88807,-98.38313,458.3190519896373
40.88807,-98.38314,458.31911851857086
40.88806,-98.38314,458.318423045613
40.888,-98.38344,458.3163724719849
40.88799,-98.3842,458.3170508239304
40.88798,-98.38515,458.3211620772334
40.88796,-98.38602,458.3338618882511
40.88796,-98.38606,458.3371783079871
40.88795,-98.38742,458.4122483882261
40.88792,-98.38891,458.3426426002928
40.88791,-98.38956,458.3513308208522
40.8879,-98.39041,458.369399129933
40.88788,-98.39267,458.38978856866015
40.88788,-98.39293,458.39141841063815
40.88786,-98.39409,458.3645418151174
40.88786,-98.39458,458.37792676723785
40.88783,-98.39628,458.433226805757
40.88783,-98.39648,458.4364730337454
40.88783,-98.39708,458.44910860087595
40.88783,-98.39747,458.4659213852752
40.88783,-98.39936,458.5447361464757
40.88784,-98.40047,458.5494055280419
40.88785,-98.40163,458.65646831113867
40.88786,-98.40251,458.69938973338196
40.88786,-98.40274,458.70910559862807
40.88785,-98.40294,458.7182160876899
40.88786,-98.40313,458.7255777781966
40.88786,-98.40329,458.72568417807116
40.88786,-98.4035,458.7231239276644
40.88786,-98.40359,458.7220266753003
40.88787,-98.4046,458.70931187403806
40.88786,-98.40604,458.70574728587593
40.88787,-98.40666,458.72228946878397
40.88787,-98.40671,458.7215180668037
40.88788,-98.40822,458.7167634097384
40.88791,-98.41184,458.73534380734
40.88794,-98.41478,458.7532022912854
40.88796,-98.4166,458.76535488086546
40.88987,-98.41658,458.7527824021949
40.8909,-98.41657,458.73021700028147
40.8921,-98.41656,458.68168076764186
40.89257,-98.41656,458.65456870097915
40.89264,-98.41655,458.65268756399286
40.89284,-98.41656,458.6484836732767
40.89288,-98.41656,458.64758304946275
40.89325,-98.41653,458.63545126540913
40.89331,-98.41654,458.6330546969165
40.8925,-98.41832,458.6876155393132
40.89203,-98.41936,458.7122170865364
40.89186,-98.41972,458.7111484660366
40.89175,-98.41997,458.7270358194375
