,latitude,longitude,time,rain chance,warnings
0,41.828102,-103.707082,2024-07-26T21,0.43,LOW
1,41.828102,-103.707082,2024-07-27T00,0.44,LOW
2,41.828102,-103.707082,2024-07-27T03,0.26,LOW
3,41.828102,-103.707082,2024-07-27T18,0.33,LOW
4,41.828102,-103.707082,2024-07-27T21,0.61,HIGH
5,41.828102,-103.707082,2024-07-28T00,0.42,LOW
6,41.828102,-103.707082,2024-07-28T03,0.24,LOW
7,41.828102,-103.707082,2024-07-28T18,0.15,LOW
8,41.829134,-103.710618,2024-07-26T21,0.44,LOW
9,41.829134,-103.710618,2024-07-27T00,0.45,LOW
10,41.829134,-103.710618,2024-07-27T03,0.26,LOW
11,41.829134,-103.710618,2024-07-27T18,0.32,LOW
12,41.829134,-103.710618,2024-07-27T21,0.61,HIGH
13,41.829134,-103.710618,2024-07-28T00,0.42,LOW
14,41.829134,-103.710618,2024-07-28T03,0.22,LOW
15,41.829134,-103.710618,2024-07-28T18,0.15,LOW
16,41.831481,-103.715718,2024-07-26T21,0.46,LOW
17,41.831481,-103.715718,2024-07-27T03,0.25,LOW
18,41.831481,-103.715718,2024-07-27T18,0.33,LOW
19,41.831481,-103.715718,2024-07-27T21,0.62,HIGH
20,41.831481,-103.715718,2024-07-28T00,0.42,LOW
21,41.831481,-103.715718,2024-07-28T03,0.22,LOW
22,41.831481,-103.715718,2024-07-28T18,0.15,LOW
23,41.850176,-103.735658,2024-07-26T21,0.46,LOW
24,41.850176,-103.735658,2024-07-27T03,0.25,LOW
25,41.850176,-103.735658,2024-07-27T18,0.33,LOW
26,41.850176,-103.735658,2024-07-27T21,0.62,HIGH
27,41.850176,-103.735658,2024-07-28T00,0.42,LOW
28,41.850176,-103.735658,2024-07-28T03,0.22,LOW
29,41.850176,-103.735658,2024-07-28T18,0.15,LOW
30,41.865969,-103.716601,2024-07-26T21,0.45,LOW
31,41.865969,-103.716601,2024-07-27T00,0.46,LOW
32,41.865969,-103.716601,2024-07-27T03,0.26,LOW
33,41.865969,-103.716601,2024-07-27T18,0.32,LOW
34,41.865969,-103.716601,2024-07-27T21,0.61,HIGH
35,41.865969,-103.716601,2024-07-28T00,0.42,LOW
36,41.865969,-103.716601,2024-07-28T03,0.22,LOW
37,41.865969,-103.716601,2024-07-28T18,0.15,LOW
38,41.874005,-103.694741,2024-07-26T21,0.46,LOW
39,41.874005,-103.694741,2024-07-27T03,0.26,LOW
40,41.874005,-103.694741,2024-07-27T18,0.32,LOW
41,41.874005,-103.694741,2024-07-27T21,0.61,HIGH
42,41.874005,-103.694741,2024-07-28T00,0.42,LOW
43,41.874005,-103.694741,2024-07-28T03,0.21,LOW
44,41.874005,-103.694741,2024-07-28T18,0.15,LOW
45,41.885262,-103.689735,2024-07-26T21,0.44,LOW
46,41.885262,-103.689735,2024-07-27T00,0.46,LOW
47,41.885262,-103.689735,2024-07-27T03,0.27,LOW
48,41.885262,-103.689735,2024-07-27T18,0.32,LOW
49,41.885262,-103.689735,2024-07-27T21,0.61,HIGH
50,41.885262,-103.689735,2024-07-28T00,0.42,LOW
51,41.885262,-103.689735,2024-07-28T03,0.21,LOW
52,41.885262,-103.689735,2024-07-28T18,0.15,LOW
53,41.881175,-103.689798,2024-07-26T21,0.46,LOW
54,41.881175,-103.689798,2024-07-27T03,0.26,LOW
55,41.881175,-103.689798,2024-07-27T18,0.32,LOW
56,41.881175,-103.689798,2024-07-27T21,0.61,HIGH
57,41.881175,-103.689798,2024-07-28T00,0.42,LOW
58,41.881175,-103.689798,2024-07-28T03,0.21,LOW
59,41.881175,-103.689798,2024-07-28T18,0.15,LOW
60,41.89543,-103.712644,2024-07-26T21,0.47,LOW
61,41.89543,-103.712644,2024-07-27T03,0.26,LOW
62,41.89543,-103.712644,2024-07-27T18,0.32,LOW
63,41.89543,-103.712644,2024-07-27T21,0.61,HIGH
64,41.89543,-103.712644,2024-07-28T00,0.42,LOW
65,41.89543,-103.712644,2024-07-28T03,0.21,LOW
66,41.89543,-103.712644,2024-07-28T18,0.15,LOW
67,41.901762,-103.721668,2024-07-26T21,0.48,LOW
68,41.901762,-103.721668,2024-07-27T00,0.47,LOW
69,41.901762,-103.721668,2024-07-27T03,0.25,LOW
70,41.901762,-103.721668,2024-07-27T18,0.32,LOW
71,41.901762,-103.721668,2024-07-27T21,0.61,HIGH
72,41.901762,-103.721668,2024-07-28T00,0.42,LOW
73,41.901762,-103.721668,2024-07-28T03,0.21,LOW
74,41.901762,-103.721668,2024-07-28T18,0.15,LOW
75,41.91527,-103.740899,2024-07-26T21,0.49,LOW
76,41.91527,-103.740899,2024-07-27T00,0.47,LOW
77,41.91527,-103.740899,2024-07-27T03,0.25,LOW
78,41.91527,-103.740899,2024-07-27T18,0.32,LOW
79,41.91527,-103.740899,2024-07-27T21,0.61,HIGH
80,41.91527,-103.740899,2024-07-28T00,0.42,LOW
81,41.91527,-103.740899,2024-07-28T03,0.21,LOW
82,41.91527,-103.740899,2024-07-28T18,0.15,LOW
83,41.922389,-103.751818,2024-07-26T21,0.49,LOW
84,41.922389,-103.751818,2024-07-27T00,0.47,LOW
85,41.922389,-103.751818,2024-07-27T03,0.23,LOW
86,41.922389,-103.751818,2024-07-27T18,0.32,LOW
87,41.922389,-103.751818,2024-07-27T21,0.61,HIGH
88,41.922389,-103.751818,2024-07-28T00,0.42,LOW
89,41.922389,-103.751818,2024-07-28T03,0.21,LOW
90,41.922389,-103.751818,2024-07-28T18,0.15,LOW
91,41.935037,-103.782171,2024-07-26T21,0.49,LOW
92,41.935037,-103.782171,2024-07-27T00,0.48,LOW
93,41.935037,-103.782171,2024-07-27T03,0.23,LOW
94,41.935037,-103.782171,2024-07-27T18,0.32,LOW
95,41.935037,-103.782171,2024-07-27T21,0.61,HIGH
96,41.935037,-103.782171,2024-07-28T00,0.42,LOW
97,41.935037,-103.782171,2024-07-28T03,0.21,LOW
98,41.935037,-103.782171,2024-07-28T18,0.15,LOW
99,41.935917,-103.783935,2024-07-26T21,0.5,LOW
100,41.935917,-103.783935,2024-07-27T00,0.48,LOW
101,41.935917,-103.783935,2024-07-27T03,0.22,LOW
102,41.935917,-103.783935,2024-07-27T18,0.32,LOW
103,41.935917,-103.783935,2024-07-27T21,0.61,HIGH
104,41.935917,-103.783935,2024-07-28T00,0.42,LOW
105,41.935917,-103.783935,2024-07-28T03,0.21,LOW
106,41.935917,-103.783935,2024-07-28T18,0.15,LOW
107,41.942767,-103.812895,2024-07-26T21,0.5,LOW
108,41.942767,-103.812895,2024-07-27T00,0.48,LOW
109,41.942767,-103.812895,2024-07-27T03,0.21,LOW
110,41.942767,-103.812895,2024-07-27T18,0.32,LOW
111,41.942767,-103.812895,2024-07-27T21,0.61,HIGH
112,41.942767,-103.812895,2024-07-28T00,0.42,LOW
113,41.942767,-103.812895,2024-07-28T03,0.21,LOW
114,41.942767,-103.812895,2024-07-28T18,0.15,LOW
115,41.952186,-103.843279,2024-07-26T21,0.51,HIGH
116,41.952186,-103.843279,2024-07-27T00,0.48,LOW
117,41.952186,-103.843279,2024-07-27T03,0.2,LOW
118,41.952186,-103.843279,2024-07-27T18,0.33,LOW
119,41.952186,-103.843279,2024-07-27T21,0.61,HIGH
120,41.952186,-103.843279,2024-07-28T00,0.42,LOW
121,41.952186,-103.843279,2024-07-28T03,0.2,LOW
122,41.952186,-103.843279,2024-07-28T18,0.15,LOW
123,41.953566,-103.846834,2024-07-26T21,0.51,HIGH
124,41.953566,-103.846834,2024-07-27T00,0.48,LOW
125,41.953566,-103.846834,2024-07-27T03,0.21,LOW
126,41.953566,-103.846834,2024-07-27T18,0.33,LOW
127,41.953566,-103.846834,2024-07-27T21,0.62,HIGH
128,41.953566,-103.846834,2024-07-28T00,0.42,LOW
129,41.953566,-103.846834,2024-07-28T03,0.2,LOW
130,41.953566,-103.846834,2024-07-28T18,0.15,LOW
131,41.963606,-103.87291,2024-07-26T21,0.51,HIGH
132,41.963606,-103.87291,2024-07-27T00,0.48,LOW
133,41.963606,-103.87291,2024-07-27T03,0.2,LOW
134,41.963606,-103.87291,2024-07-27T18,0.33,LOW
135,41.963606,-103.87291,2024-07-27T21,0.62,HIGH
136,41.963606,-103.87291,2024-07-28T00,0.42,LOW
137,41.963606,-103.87291,2024-07-28T03,0.2,LOW
138,41.963606,-103.87291,2024-07-28T18,0.15,LOW
139,41.963625,-103.908085,2024-07-26T21,0.52,HIGH
140,41.963625,-103.908085,2024-07-27T00,0.48,LOW
141,41.963625,-103.908085,2024-07-27T03,0.19,LOW
142,41.963625,-103.908085,2024-07-27T18,0.33,LOW
143,41.963625,-103.908085,2024-07-27T21,0.62,HIGH
144,41.963625,-103.908085,2024-07-28T00,0.42,LOW
145,41.963625,-103.908085,2024-07-28T03,0.21,LOW
146,41.963625,-103.908085,2024-07-28T18,0.15,LOW
147,41.963311,-103.931731,2024-07-26T21,0.52,HIGH
148,41.963311,-103.931731,2024-07-27T00,0.48,LOW
149,41.963311,-103.931731,2024-07-27T03,0.18,LOW
150,41.963311,-103.931731,2024-07-27T18,0.33,LOW
151,41.963311,-103.931731,2024-07-27T21,0.62,HIGH
152,41.963311,-103.931731,2024-07-28T00,0.42,LOW
153,41.963311,-103.931731,2024-07-28T03,0.21,LOW
154,41.963311,-103.931731,2024-07-28T18,0.15,LOW
155,41.964752,-103.96154,2024-07-26T21,0.52,HIGH
156,41.964752,-103.96154,2024-07-27T00,0.48,LOW
157,41.964752,-103.96154,2024-07-27T03,0.18,LOW
158,41.964752,-103.96154,2024-07-27T18,0.33,LOW
159,41.964752,-103.96154,2024-07-27T21,0.62,HIGH
160,41.964752,-103.96154,2024-07-28T00,0.42,LOW
161,41.964752,-103.96154,2024-07-28T03,0.21,LOW
162,41.964752,-103.96154,2024-07-28T18,0.15,LOW
163,41.964905,-103.963585,2024-07-26T21,0.55,HIGH
164,41.964905,-103.963585,2024-07-27T00,0.48,LOW
165,41.964905,-103.963585,2024-07-27T03,0.18,LOW
166,41.964905,-103.963585,2024-07-27T18,0.33,LOW
167,41.964905,-103.963585,2024-07-27T21,0.62,HIGH
168,41.964905,-103.963585,2024-07-28T00,0.42,LOW
169,41.964905,-103.963585,2024-07-28T03,0.21,LOW
170,41.964905,-103.963585,2024-07-28T18,0.15,LOW
171,41.968107,-103.992729,2024-07-26T21,0.57,HIGH
172,41.968107,-103.992729,2024-07-27T00,0.48,LOW
173,41.968107,-103.992729,2024-07-27T03,0.18,LOW
174,41.968107,-103.992729,2024-07-27T18,0.34,LOW
175,41.968107,-103.992729,2024-07-27T21,0.62,HIGH
176,41.968107,-103.992729,2024-07-28T00,0.42,LOW
177,41.968107,-103.992729,2024-07-28T03,0.21,LOW
178,41.968107,-103.992729,2024-07-28T18,0.15,LOW
179,41.968233,-103.994247,2024-07-26T21,0.57,HIGH
180,41.968233,-103.994247,2024-07-27T00,0.48,LOW
181,41.968233,-103.994247,2024-07-27T03,0.18,LOW
182,41.968233,-103.994247,2024-07-27T18,0.33,LOW
183,41.968233,-103.994247,2024-07-27T21,0.62,HIGH
184,41.968233,-103.994247,2024-07-28T00,0.42,LOW
185,41.968233,-103.994247,2024-07-28T03,0.21,LOW
186,41.968233,-103.994247,2024-07-28T18,0.15,LOW
187,41.97745,-104.021012,2024-07-26T21,0.59,HIGH
188,41.97745,-104.021012,2024-07-27T00,0.48,LOW
189,41.97745,-104.021012,2024-07-27T03,0.17,LOW
190,41.97745,-104.021012,2024-07-27T18,0.34,LOW
191,41.97745,-104.021012,2024-07-27T21,0.62,HIGH
192,41.97745,-104.021012,2024-07-28T00,0.42,LOW
193,41.97745,-104.021012,2024-07-28T03,0.22,LOW
194,41.97745,-104.021012,2024-07-28T18,0.15,LOW
195,41.988172,-104.032383,2024-07-26T21,0.59,HIGH
196,41.988172,-104.032383,2024-07-27T00,0.48,LOW
197,41.988172,-104.032383,2024-07-27T03,0.17,LOW
198,41.988172,-104.032383,2024-07-27T18,0.33,LOW
199,41.988172,-104.032383,2024-07-27T21,0.62,HIGH
200,41.988172,-104.032383,2024-07-28T00,0.42,LOW
201,41.988172,-104.032383,2024-07-28T03,0.21,LOW
202,41.988172,-104.032383,2024-07-28T18,0.15,LOW
203,42.002974,-104.052645,2024-07-26T21,0.59,HIGH
204,42.002974,-104.052645,2024-07-27T00,0.48,LOW
205,42.002974,-104.052645,2024-07-27T03,0.17,LOW
206,42.002974,-104.052645,2024-07-27T18,0.33,LOW
207,42.002974,-104.052645,2024-07-27T21,0.62,HIGH
208,42.002974,-104.052645,2024-07-28T00,0.42,LOW
209,42.002974,-104.052645,2024-07-28T03,0.21,LOW
210,42.002974,-104.052645,2024-07-28T18,0.15,LOW
211,42.00346,-104.053579,2024-07-26T21,0.6,HIGH
212,42.00346,-104.053579,2024-07-27T00,0.48,LOW
213,42.00346,-104.053579,2024-07-27T03,0.17,LOW
214,42.00346,-104.053579,2024-07-27T18,0.33,LOW
215,42.00346,-104.053579,2024-07-27T21,0.62,HIGH
216,42.00346,-104.053579,2024-07-28T00,0.42,LOW
217,42.00346,-104.053579,2024-07-28T03,0.21,LOW
218,42.00346,-104.053579,2024-07-28T18,0.15,LOW
219,42.009172,-104.064746,2024-07-26T21,0.6,HIGH
220,42.009172,-104.064746,2024-07-27T00,0.48,LOW
221,42.009172,-104.064746,2024-07-27T03,0.16,LOW
222,42.009172,-104.064746,2024-07-27T18,0.33,LOW
223,42.009172,-104.064746,2024-07-27T21,0.62,HIGH
224,42.009172,-104.064746,2024-07-28T00,0.42,LOW
225,42.009172,-104.064746,2024-07-28T03,0.21,LOW
226,42.009172,-104.064746,2024-07-28T18,0.15,LOW
227,42.019281,-104.084544,2024-07-26T21,0.6,HIGH
228,42.019281,-104.084544,2024-07-27T00,0.48,LOW
229,42.019281,-104.084544,2024-07-27T03,0.16,LOW
230,42.019281,-104.084544,2024-07-27T18,0.33,LOW
231,42.019281,-104.084544,2024-07-27T21,0.62,HIGH
232,42.019281,-104.084544,2024-07-28T00,0.42,LOW
233,42.019281,-104.084544,2024-07-28T03,0.21,LOW
234,42.019281,-104.084544,2024-07-28T18,0.15,LOW
235,42.030932,-104.11091,2024-07-26T21,0.6,HIGH
236,42.030932,-104.11091,2024-07-27T00,0.48,LOW
237,42.030932,-104.11091,2024-07-27T03,0.16,LOW
238,42.030932,-104.11091,2024-07-27T18,0.33,LOW
239,42.030932,-104.11091,2024-07-27T21,0.61,HIGH
240,42.030932,-104.11091,2024-07-28T00,0.42,LOW
241,42.030932,-104.11091,2024-07-28T03,0.2,LOW
242,42.030932,-104.11091,2024-07-28T18,0.15,LOW
243,42.034536,-104.119323,2024-07-26T21,0.6,HIGH
244,42.034536,-104.119323,2024-07-27T00,0.48,LOW
245,42.034536,-104.119323,2024-07-27T03,0.16,LOW
246,42.034536,-104.119323,2024-07-27T18,0.33,LOW
247,42.034536,-104.119323,2024-07-27T21,0.61,HIGH
248,42.034536,-104.119323,2024-07-28T00,0.42,LOW
249,42.034536,-104.119323,2024-07-28T03,0.2,LOW
250,42.034536,-104.119323,2024-07-28T18,0.15,LOW
251,42.037198,-104.125504,2024-07-26T21,0.6,HIGH
252,42.037198,-104.125504,2024-07-27T00,0.48,LOW
253,42.037198,-104.125504,2024-07-27T03,0.15,LOW
254,42.037198,-104.125504,2024-07-27T18,0.33,LOW
255,42.037198,-104.125504,2024-07-27T21,0.61,HIGH
256,42.037198,-104.125504,2024-07-28T00,0.42,LOW
257,42.037198,-104.125504,2024-07-28T03,0.21,LOW
258,42.037198,-104.125504,2024-07-28T18,0.15,LOW
259,42.045445,-104.14473,2024-07-26T21,0.6,HIGH
260,42.045445,-104.14473,2024-07-27T00,0.48,LOW
261,42.045445,-104.14473,2024-07-27T03,0.15,LOW
262,42.045445,-104.14473,2024-07-27T18,0.34,LOW
263,42.045445,-104.14473,2024-07-27T21,0.61,HIGH
264,42.045445,-104.14473,2024-07-28T00,0.42,LOW
265,42.045445,-104.14473,2024-07-28T03,0.21,LOW
266,42.045445,-104.14473,2024-07-28T18,0.15,LOW
267,42.048218,-104.151208,2024-07-26T21,0.6,HIGH
268,42.048218,-104.151208,2024-07-27T00,0.48,LOW
269,42.048218,-104.151208,2024-07-27T03,0.15,LOW
270,42.048218,-104.151208,2024-07-27T18,0.33,LOW
271,42.048218,-104.151208,2024-07-27T21,0.61,HIGH
272,42.048218,-104.151208,2024-07-28T00,0.42,LOW
273,42.048218,-104.151208,2024-07-28T03,0.2,LOW
274,42.048218,-104.151208,2024-07-28T18,0.15,LOW
275,42.05875,-104.175745,2024-07-26T21,0.6,HIGH
276,42.05875,-104.175745,2024-07-27T00,0.48,LOW
277,42.05875,-104.175745,2024-07-27T03,0.14,LOW
278,42.05875,-104.175745,2024-07-27T18,0.34,LOW
279,42.05875,-104.175745,2024-07-27T21,0.61,HIGH
280,42.05875,-104.175745,2024-07-28T00,0.42,LOW
281,42.05875,-104.175745,2024-07-28T03,0.21,LOW
282,42.05875,-104.175745,2024-07-28T18,0.15,LOW
283,42.067317,-104.195443,2024-07-26T21,0.6,HIGH
284,42.067317,-104.195443,2024-07-27T00,0.48,LOW
285,42.067317,-104.195443,2024-07-27T03,0.14,LOW
286,42.067317,-104.195443,2024-07-27T18,0.34,LOW
287,42.067317,-104.195443,2024-07-27T21,0.61,HIGH
288,42.067317,-104.195443,2024-07-28T00,0.42,LOW
289,42.067317,-104.195443,2024-07-28T03,0.2,LOW
290,42.067317,-104.195443,2024-07-28T18,0.15,LOW
291,42.072693,-104.208261,2024-07-26T21,0.6,HIGH
292,42.072693,-104.208261,2024-07-27T00,0.48,LOW
293,42.072693,-104.208261,2024-07-27T03,0.13,LOW
294,42.072693,-104.208261,2024-07-27T18,0.34,LOW
295,42.072693,-104.208261,2024-07-27T21,0.61,HIGH
296,42.072693,-104.208261,2024-07-28T00,0.42,LOW
297,42.072693,-104.208261,2024-07-28T03,0.2,LOW
298,42.072693,-104.208261,2024-07-28T18,0.15,LOW
299,42.08707,-104.241831,2024-07-26T21,0.6,HIGH
300,42.08707,-104.241831,2024-07-27T00,0.48,LOW
301,42.08707,-104.241831,2024-07-27T03,0.13,LOW
302,42.08707,-104.241831,2024-07-27T18,0.34,LOW
303,42.08707,-104.241831,2024-07-27T21,0.61,HIGH
304,42.08707,-104.241831,2024-07-28T00,0.42,LOW
305,42.08707,-104.241831,2024-07-28T03,0.2,LOW
306,42.08707,-104.241831,2024-07-28T18,0.15,LOW
307,42.098127,-104.267635,2024-07-26T21,0.6,HIGH
308,42.098127,-104.267635,2024-07-27T00,0.48,LOW
309,42.098127,-104.267635,2024-07-27T03,0.12,LOW
310,42.098127,-104.267635,2024-07-27T18,0.35,LOW
311,42.098127,-104.267635,2024-07-27T21,0.61,HIGH
312,42.098127,-104.267635,2024-07-28T00,0.42,LOW
313,42.098127,-104.267635,2024-07-28T03,0.2,LOW
314,42.098127,-104.267635,2024-07-28T18,0.15,LOW
315,42.10662,-104.28699,2024-07-26T21,0.6,HIGH
316,42.10662,-104.28699,2024-07-27T00,0.49,LOW
317,42.10662,-104.28699,2024-07-27T03,0.12,LOW
318,42.10662,-104.28699,2024-07-27T18,0.34,LOW
319,42.10662,-104.28699,2024-07-27T21,0.61,HIGH
320,42.10662,-104.28699,2024-07-28T00,0.42,LOW
321,42.10662,-104.28699,2024-07-28T03,0.2,LOW
322,42.10662,-104.28699,2024-07-28T18,0.15,LOW
323,42.112077,-104.298594,2024-07-26T21,0.6,HIGH
324,42.112077,-104.298594,2024-07-27T00,0.49,LOW
325,42.112077,-104.298594,2024-07-27T03,0.12,LOW
326,42.112077,-104.298594,2024-07-27T18,0.34,LOW
327,42.112077,-104.298594,2024-07-27T21,0.61,HIGH
328,42.112077,-104.298594,2024-07-28T00,0.42,LOW
329,42.112077,-104.298594,2024-07-28T03,0.2,LOW
330,42.112077,-104.298594,2024-07-28T18,0.15,LOW
331,42.11222,-104.298901,2024-07-26T21,0.6,HIGH
332,42.11222,-104.298901,2024-07-27T00,0.49,LOW
333,42.11222,-104.298901,2024-07-27T03,0.12,LOW
334,42.11222,-104.298901,2024-07-27T18,0.35,LOW
335,42.11222,-104.298901,2024-07-27T21,0.61,HIGH
336,42.11222,-104.298901,2024-07-28T00,0.42,LOW
337,42.11222,-104.298901,2024-07-28T03,0.2,LOW
338,42.11222,-104.298901,2024-07-28T18,0.15,LOW
339,42.127203,-104.331099,2024-07-26T21,0.6,HIGH
340,42.127203,-104.331099,2024-07-27T00,0.49,LOW
341,42.127203,-104.331099,2024-07-27T03,0.11,LOW
342,42.127203,-104.331099,2024-07-27T18,0.35,LOW
343,42.127203,-104.331099,2024-07-27T21,0.61,HIGH
344,42.127203,-104.331099,2024-07-28T00,0.42,LOW
345,42.127203,-104.331099,2024-07-28T03,0.2,LOW
346,42.127203,-104.331099,2024-07-28T18,0.15,LOW
347,42.140486,-104.359377,2024-07-26T21,0.6,HIGH
348,42.140486,-104.359377,2024-07-27T00,0.49,LOW
349,42.140486,-104.359377,2024-07-27T03,0.11,LOW
350,42.140486,-104.359377,2024-07-27T18,0.36,LOW
351,42.140486,-104.359377,2024-07-27T21,0.61,HIGH
